"M","D","ɛ","R"
1.7916e25,1.0058142874603061e11,1.0e-10,1.4496844602793455e7
1.7916e25,1.1789172372242242e11,1.0e-10,1.4470663632020354e7
1.7916e25,1.3818116023523352e11,1.0e-10,1.4447441290572286e7
1.7916e25,1.6196245538755908e11,1.0e-10,1.4426858240365982e7
1.7916e25,1.8983656607392163e11,1.0e-10,1.440934216633439e7
1.7916e25,2.2250787525111063e11,1.0e-10,1.4393220345184207e7
1.7916e25,2.608019918011185e11,1.0e-10,1.4378283686503768e7
1.7916e25,3.056866137913986e11,1.0e-10,1.4365676485091448e7
1.7916e25,3.582959823501277e11,1.0e-10,1.4355207708343863e7
1.7916e25,4.199595441095997e11,1.0e-10,1.4345346719406545e7
1.7916e25,4.922355465219763e11,1.0e-10,1.4336709859788418e7
1.7916e25,5.769504150060564e11,1.0e-10,1.4328410871267319e7
1.7916e25,6.762449069914958e11,1.0e-10,1.4321824523299932e7
1.7916e25,7.92628209180043e11,1.0e-10,1.4316871931776404e7
1.7916e25,9.290413450697795e11,1.0e-10,1.4311172317236662e7
1.7916e25,1.0889314950598782e12,1.0e-10,1.4307693813115358e7
1.7916e25,1.276339107216255e12,1.0e-10,1.4303309567347169e7
1.7916e25,1.4960000000000024e12,1.0e-10,1.4300236888706684e7
1.7916e25,1.4960000000000023e10,1.0e-12,1.4682769697666168e7
1.7916e25,1.753465037110095e10,1.0e-12,1.428097205850482e7
1.7916e25,2.0552403986413616e10,1.0e-12,1.394749281053245e7
1.7916e25,2.4089519932311737e10,1.0e-12,1.3637618919625878e7
1.7916e25,2.8235381659141136e10,1.0e-12,1.3382522914931178e7
1.7916e25,3.3094755714414124e10,1.0e-12,1.3155142794713378e7
1.7916e25,3.879043920917388e10,1.0e-12,1.2994354168966413e7
1.7916e25,4.5466362919405464e10,1.0e-12,1.288417635256797e7
1.7916e25,5.329122843832614e10,1.0e-12,1.2798564283512533e7
1.7916e25,6.246277129094356e10,1.0e-12,1.2734844455763698e7
1.7916e25,7.32127577404232e10,1.0e-12,1.2682332349285483e7
1.7916e25,8.581284155631276e10,1.0e-12,1.2638527908042073e7
1.7916e25,1.0058142874603061e11,1.0e-12,1.2601333575040102e7
1.7916e25,1.1789172372242242e11,1.0e-12,1.2568269728079438e7
1.7916e25,1.3818116023523352e11,1.0e-12,1.253905979757011e7
1.7916e25,1.6196245538755908e11,1.0e-12,1.2512427381590009e7
1.7916e25,1.8983656607392163e11,1.0e-12,1.2489143263429403e7
1.7916e25,2.2250787525111063e11,1.0e-12,1.246894417925179e7
1.7916e25,2.608019918011185e11,1.0e-12,1.2449664142474532e7
1.7916e25,3.056866137913986e11,1.0e-12,1.2433583188995719e7
1.7916e25,3.582959823501277e11,1.0e-12,1.2418616117164493e7
1.7916e25,4.199595441095997e11,1.0e-12,1.240458995218575e7
1.7916e25,4.922355465219763e11,1.0e-12,1.2393212107352912e7
1.7916e25,5.769504150060564e11,1.0e-12,1.2382475314714015e7
1.7916e25,6.762449069914958e11,1.0e-12,1.2372875213585794e7
1.7916e25,7.92628209180043e11,1.0e-12,1.2363680462732911e7
1.7916e25,9.290413450697795e11,1.0e-12,1.235664029353112e7
1.7916e25,1.0889314950598782e12,1.0e-12,1.2349195249259472e7
1.7916e25,1.276339107216255e12,1.0e-12,1.2343112619102001e7
1.7916e25,1.4960000000000024e12,1.0e-12,1.2338313518948853e7
1.7916e25,1.4960000000000023e10,1.0e-14,1.465926318334043e7
1.7916e25,1.753465037110095e10,1.0e-14,1.424105574850738e7
1.7916e25,2.0552403986413616e10,1.0e-14,1.3895010196494404e7
1.7916e25,2.4089519932311737e10,1.0e-14,1.3560823813065886e7
1.7916e25,2.8235381659141136e10,1.0e-14,1.316800850790739e7
1.7916e25,3.3094755714414124e10,1.0e-14,1.2896943698227406e7
1.7916e25,3.879043920917388e10,1.0e-14,1.2666636312246323e7
1.7916e25,4.5466362919405464e10,1.0e-14,1.2477002713799477e7
1.7916e25,5.329122843832614e10,1.0e-14,1.2299568115256727e7
1.7916e25,6.246277129094356e10,1.0e-14,1.21323756204471e7
1.7916e25,7.32127577404232e10,1.0e-14,1.2004716895222664e7
1.7916e25,8.581284155631276e10,1.0e-14,1.1875518029034138e7
1.7916e25,1.0058142874603061e11,1.0e-14,1.177998557035625e7
1.7916e25,1.1789172372242242e11,1.0e-14,1.1705270913392305e7
1.7916e25,1.3818116023523352e11,1.0e-14,1.1647485451690853e7
1.7916e25,1.6196245538755908e11,1.0e-14,1.1601831985920668e7
1.7916e25,1.8983656607392163e11,1.0e-14,1.1566442483335733e7
1.7916e25,2.2250787525111063e11,1.0e-14,1.1537344226114452e7
1.7916e25,2.608019918011185e11,1.0e-14,1.1512289492331445e7
1.7916e25,3.056866137913986e11,1.0e-14,1.149045902773738e7
1.7916e25,3.582959823501277e11,1.0e-14,1.1470634405478835e7
1.7916e25,4.199595441095997e11,1.0e-14,1.1454072544053197e7
1.7916e25,4.922355465219763e11,1.0e-14,1.1438185474410653e7
1.7916e25,5.769504150060564e11,1.0e-14,1.142440736669302e7
1.7916e25,6.762449069914958e11,1.0e-14,1.1412571898981929e7
1.7916e25,7.92628209180043e11,1.0e-14,1.140140552058816e7
1.7916e25,9.290413450697795e11,1.0e-14,1.1391344470143318e7
1.7916e25,1.0889314950598782e12,1.0e-14,1.1381712055042386e7
1.7916e25,1.276339107216255e12,1.0e-14,1.1374088808715343e7
1.7916e25,1.4960000000000024e12,1.0e-14,1.1366155253209174e7
1.7916e25,1.4960000000000023e10,1.0e-18,1.4660048222795129e7
1.7916e25,1.753465037110095e10,1.0e-18,1.4241601284399629e7
1.7916e25,2.0552403986413616e10,1.0e-18,1.389500366241904e7
1.7916e25,2.4089519932311737e10,1.0e-18,1.3559252783745527e7
1.7916e25,2.8235381659141136e10,1.0e-18,1.3165040374472737e7
1.7916e25,3.3094755714414124e10,1.0e-18,1.2892147924512625e7
1.7916e25,3.879043920917388e10,1.0e-18,1.2660646347157657e7
